Data,Discipline,Credit,Subject
3/9/2018,Изо,5,1
3/9/2018,Математика,4,2
3/9/2018,Изо,5,2
3/9/2018,Изо,5,4
3/9/2018,Изо,5,5
3/9/2018,Изо,4,6
3/9/2018,Изо,5,7
3/9/2018,Изо,5,8
3/9/2018,Изо,5,9
3/9/2018,Изо,5,10
3/9/2018,Изо,5,11
3/9/2018,Изо,5,12
3/9/2018,Изо,5,13
3/9/2018,Изо,5,14
3/9/2018,Математика,4,15
3/9/2018,Изо,5,15
3/9/2018,Математика,4,16
3/9/2018,Изо,5,16
3/9/2018,Изо,5,17
3/9/2018,Изо,5,18
3/9/2018,Изо,4,19
3/9/2018,Изо,5,20
4/9/2018,Математика,4,1
4/9/2018,Музыка,5,1
4/9/2018,Русский,5,2
4/9/2018,Математика,5,2
4/9/2018,Математика,4,4
4/9/2018,Математика,5,5
4/9/2018,Математика,3,6
4/9/2018,Математика,3,8
4/9/2018,Математика,5,9
4/9/2018,Математика,3,10
4/9/2018,Математика,4,11
4/9/2018,Математика,2,12
4/9/2018,Математика,3,13
4/9/2018,Математика,3,14
4/9/2018,Математика,5,15
4/9/2018,Математика,2,16
4/9/2018,Математика,2,19
4/9/2018,Математика,2,20
5/9/2018,Математика,4,1
5/9/2018,Математика,5,2
5/9/2018,Математика,2,4
5/9/2018,Математика,4,8
5/9/2018,Математика,2,9
5/9/2018,Математика,2,10
5/9/2018,Математика,4,11
5/9/2018,Математика,2,12
5/9/2018,Математика,3,13
5/9/2018,Математика,2,14
5/9/2018,География,5,15
5/9/2018,Русский,4,16
5/9/2018,Математика,3,16
5/9/2018,География,5,16
5/9/2018,Физкультура,5,16
5/9/2018,Математика,2,17
5/9/2018,Математика,2,18
5/9/2018,Русский,3,20
5/9/2018,Математика,3,20
6/9/2018,Русский,4,2
6/9/2018,Литература,4,2
6/9/2018,Русский,4,4
6/9/2018,Русский,3,6
6/9/2018,Русский,4,8
6/9/2018,Литература,5,8
6/9/2018,Математика,4,10
6/9/2018,Литература,4,12
6/9/2018,Русский,4,13
6/9/2018,Литература,4,13
6/9/2018,История,4,13
6/9/2018,Литература,4,16
6/9/2018,Математика,5,16
6/9/2018,Математика,4,17
7/9/2018,Русский,4,2
7/9/2018,Русский,4,2
7/9/2018,Английский,4,2
7/9/2018,Биология,4,2
7/9/2018,Биология,5,2
7/9/2018,Русский,4,4
7/9/2018,Русский,3,4
7/9/2018,Биология,3,4
7/9/2018,Русский,4,8
7/9/2018,Русский,3,8
7/9/2018,Биология,3,8
7/9/2018,Биология,4,8
7/9/2018,Русский,3,9
7/9/2018,Русский,4,9
7/9/2018,Биология,3,9
7/9/2018,Русский,3,10
7/9/2018,Русский,2,10
7/9/2018,Биология,3,10
7/9/2018,Биология,5,10
7/9/2018,Русский,3,11
7/9/2018,Биология,3,11
7/9/2018,Русский,2,12
7/9/2018,Биология,2,12
7/9/2018,Русский,3,16
7/9/2018,Русский,4,16
7/9/2018,Биология,5,16
7/9/2018,Русский,2,17
7/9/2018,Биология,4,17
7/9/2018,Русский,2,19
7/9/2018,Биология,2,19
7/9/2018,Русский,2,20
7/9/2018,Биология,4,20
10/9/2018,Изо,5,1
10/9/2018,Физкультура,5,1
10/9/2018,Английский,5,2
10/9/2018,Изо,5,2
10/9/2018,Изо,5,4
10/9/2018,Изо,5,7
10/9/2018,Английский,5,8
10/9/2018,Изо,5,8
10/9/2018,Изо,5,9
10/9/2018,Физкультура,5,9
10/9/2018,Изо,5,10
10/9/2018,Английский,2,11
10/9/2018,Изо,5,11
10/9/2018,Изо,5,12
10/9/2018,Физкультура,5,12
10/9/2018,Английский,5,13
10/9/2018,Изо,5,13
10/9/2018,Физкультура,5,13
10/9/2018,Изо,5,14
10/9/2018,Физкультура,5,14
10/9/2018,Изо,5,15
10/9/2018,Английский,5,16
10/9/2018,Английский,3,17
10/9/2018,Изо,5,17
10/9/2018,Английский,2,18
10/9/2018,Изо,5,18
10/9/2018,Изо,5,19
10/9/2018,Английский,2,20
10/9/2018,Изо,5,20
11/9/2018,Литература,4,1
11/9/2018,Английский,5,1
11/9/2018,Английский,4,1
11/9/2018,Музыка,5,1
11/9/2018,Физкультура,5,1
11/9/2018,Литература,4,4
11/9/2018,Английский,4,4
11/9/2018,Английский,2,4
11/9/2018,Математика,3,4
11/9/2018,Английский,4,7
11/9/2018,Математика,3,7
11/9/2018,Литература,4,8
11/9/2018,Английский,5,8
11/9/2018,Английский,4,8
11/9/2018,Литература,4,9
11/9/2018,Английский,4,9
11/9/2018,Английский,2,9
11/9/2018,Математика,3,9
11/9/2018,Физкультура,5,9
11/9/2018,Русский,3,10
11/9/2018,Английский,4,10
11/9/2018,Английский,2,10
11/9/2018,Литература,4,11
11/9/2018,Математика,3,11
11/9/2018,Физкультура,5,11
11/9/2018,Русский,3,12
11/9/2018,Литература,2,12
11/9/2018,Английский,3,12
11/9/2018,Английский,2,12
11/9/2018,Математика,3,12
11/9/2018,Физкультура,5,12
11/9/2018,Литература,4,13
11/9/2018,Английский,4,13
11/9/2018,Английский,3,13
11/9/2018,Математика,5,13
