Site,Lat,Lon,N_T,N_E,PropT,Salinity,Shore,Shore_River,River,Discharge,Drainage_Area,Lat_River,Lon_River,Discharge_fit,Min_dist_River,Shore_Port,Port,Lat_Port,Lon_Port,Min_dist_Port,Fetch
50КМ,66.4949,35.15996667,5,76,0.061728395,27,Kand,Kand,Оленица,NA,403,66.452763,35.300598,4.316977385,7.804837094,Kand,Умба,66.67797,34.357655,40.87862202,19.81966738
Anis,67.067413,32.565671,116,427,0.213627993,16,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,6.624873544,Karel,Витино,67.07657,32.33363,10.1031425,5.960865764
Bar,67.118095,32.44337,101,18,0.848739496,4,Kand,Kand,Нива,164,12800,67.130271,32.418253,137.1149145,1.735452977,Kand,Кандалакша,67.137283,32.407995,2.62483234,5.287433586
BBS,66.553319,33.103466,107,462,0.188049209,18,Karel,Karel,Нильма,NA,167,66.505766,33.135072,1.78892115,5.469776994,Karel,Чупа,66.269964,33.069534,31.54379213,2.146206645
Ber,67.103529,32.518556,424,184,0.697368421,17,Kand,Kand,Нива,164,12800,67.130271,32.418253,137.1149145,5.25843994,Kand,Кандалакша,67.137283,32.407995,6.077286268,3.607969618
Bersakol,66.99566667,32.82041667,53,207,0.203846154,21,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,12.22908062,Karel,Витино,67.07657,32.33363,22.95434461,9.69238382
Bri,66.68566667,34.33655,127,61,0.675531915,27,Kand,Kand,Умба,78.2,6250,66.664609,34.297657,66.95064183,2.90082071,Kand,Умба,66.67797,34.357655,1.263080184,0.216992573
Cher1,66.51925,32.97918333,48,91,0.345323741,17.5,Karel,Karel,Нильма,NA,167,66.505766,33.135072,1.78892115,7.069286762,Karel,Чупа,66.269964,33.069534,28.0097434,0.872831798
Cher2,66.518,32.972,76,127,0.374384236,13,Karel,Karel,Нильма,NA,167,66.505766,33.135072,1.78892115,7.353895598,Karel,Чупа,66.269964,33.069534,27.92017342,0.62450227
Cher3,66.52898333,32.97556667,28,35,0.444444444,20,Karel,Karel,Нильма,NA,167,66.505766,33.135072,1.78892115,7.524119014,Karel,Чупа,66.269964,33.069534,29.10383059,0.422741022
Cher4,66.52566667,32.98186667,32,93,0.256,22.5,Karel,Karel,Нильма,NA,167,66.505766,33.135072,1.78892115,7.140215537,Karel,Чупа,66.269964,33.069534,28.69946717,0.658962194
Chup1,66.29993333,33.63966667,7,57,0.109375,11,Karel,Karel,Кереть,23.37,3360,66.281723,33.580341,35.99266505,3.337059536,Karel,Средний,66.294178,33.640656,0.641489617,2.746400795
Chup1_2017,66.270205,33.071835,57,227,0.200704225,13,Karel,Karel,Пулонга,NA,630,66.302514,33.277289,6.748624696,9.865071634,Karel,Чупа,66.269964,33.069534,0.106394561,1.085145888
Chup2,66.29988333,33.62116667,49,38,0.563218391,17,Karel,Karel,Кереть,23.37,3360,66.281723,33.580341,35.99266505,2.722063658,Karel,Средний,66.294178,33.640656,1.077684935,1.839197773
Chup2_2017,66.264834,33.045128,175,128,0.577557756,7,Karel,Karel,Пулонга,NA,630,66.302514,33.277289,6.748624696,11.196541,Karel,Чупа,66.269964,33.069534,1.232215301,0.460368899
Chup3,66.28936667,33.6814,27,57,0.321428571,12,Karel,Karel,Кереть,23.37,3360,66.281723,33.580341,35.99266505,4.598609401,Karel,Средний,66.294178,33.640656,1.898567356,0.690601649
Chup3_2017,66.31198333,33.33775,31,310,0.090909091,15,Karel,Karel,Пулонга,NA,630,66.302514,33.277289,6.748624696,2.899444669,Karel,Чупа,66.269964,33.069534,12.87015063,1.117141193
Chup4,66.32066667,33.6063,101,54,0.651612903,20,Karel,Karel,Кереть,23.37,3360,66.281723,33.580341,35.99266505,4.483060024,Karel,Средний,66.294178,33.640656,3.321424838,2.725978229
Chup4_2018,66.275409,33.089584,29,193,0.130630631,12,Karel,Karel,Пулонга,NA,630,66.302514,33.277289,6.748624696,8.917815052,Karel,Чупа,66.269964,33.069534,1.082295608,0.608854334
Chup5_2018,66.30365,33.40043333,66,208,0.240875912,21,Karel,Karel,Пулонга,NA,630,66.302514,33.277289,6.748624696,5.504655029,Karel,Средний,66.294178,33.640656,10.78863595,1.453484797
Chup6_2018,66.2998,33.393,209,169,0.552910053,19,Karel,Karel,Пулонга,NA,630,66.302514,33.277289,6.748624696,5.180210776,Karel,Средний,66.294178,33.640656,11.087829,1.225436075
ExPOJ,66.5865027,32.8403361,24,112,0.176470588,24,Karel,Karel,Ковда,276,26100,66.695493,32.871028,279.5858803,12.19446596,Karel,Чупа,66.269964,33.069534,36.64327362,1.212676818
ExpOlodUmb,66.67129167,34.32412222,48,172,0.218181818,22,Kand,Kand,Умба,78.2,6250,66.664609,34.297657,66.95064183,1.382247642,Kand,Умба,66.67797,34.357655,1.652615451,1.68508029
ExpSOSN,66.63349444,34.48936111,28,75,0.27184466,11,Kand,Kand,Выпча,NA,161,66.633041,34.492023,1.724648533,0.127763231,Kand,Умба,66.67797,34.357655,7.62458761,2.049237109
Gridexp,65.92436667,34.6642,61,51,0.544642857,2,Karel,Karel,Гридина,5,540,65.924619,34.658458,5.784535454,0.261969048,Karel,Средний,66.294178,33.640656,61.76885718,1.776213112
Gridshel,65.92371667,34.67516667,31,84,0.269565217,19,Karel,Karel,Гридина,5,540,65.924619,34.658458,5.784535454,0.7645419,Karel,Средний,66.294178,33.640656,62.18652148,0.160453379
Ir,67.05093333,32.48115,399,515,0.43654267,17,Karel,Kand,Нива,164,12800,67.130271,32.418253,137.1149145,9.232488547,Karel,Витино,67.07657,32.33363,6.999349258,6.373802293
Kand,67.127606,32.429,121,39,0.75625,8,Kand,Kand,Нива,164,12800,67.130271,32.418253,137.1149145,0.550935104,Kand,Кандалакша,67.137283,32.407995,1.407712868,2.886284689
Karzh,66.56875,34.68373333,12,344,0.033707865,23,Kand,Kand,Кузрека,NA,255,66.599994,34.813032,2.731586187,6.68687889,Kand,Умба,66.67797,34.357655,18.82707334,14.35380873
Kash,66.33851667,36.00486667,0,69,0,24,Kand,Kand,Сальница,NA,121,66.37576,35.684872,1.296164426,14.85828932,Kand,Умба,66.67797,34.357655,82.18762691,14.28200469
Kibr1,66.9345,32.82238333,27,428,0.059340659,25,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,18.08559188,Karel,Витино,67.07657,32.33363,26.46269786,7.192542615
Kibr2,66.93538333,32.8249,232,725,0.242424242,24,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,17.95155638,Karel,Витино,67.07657,32.33363,26.49184312,8.503090875
KibrExp,66.92906667,32.83261667,297,321,0.480582524,24,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,18.46963662,Karel,Витино,67.07657,32.33363,27.18278261,7.716820958
KibrShel,66.93615,32.82288333,408,316,0.563535912,22,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,17.9090374,Karel,Витино,67.07657,32.33363,26.37050154,7.102349002
Knyazh,66.9112,32.62318333,440,79,0.8477842,13,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,21.25338188,Karel,Витино,67.07657,32.33363,22.28163998,12.26810825
Kolv1,67.0775,32.915727,33,26,0.559322034,17,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,3.324859051,Kand,Кандалакша,67.137283,32.407995,22.94608075,1.190270301
Kolv1_2017,67.08221667,32.95021667,226,168,0.573604061,11,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,1.773558952,Kand,Кандалакша,67.137283,32.407995,24.2378119,1.200448687
Kolv2,67.0661,32.834312,114,349,0.246220302,19,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,7.052227862,Kand,Кандалакша,67.137283,32.407995,20.07139138,2.496005411
Kolv2_2017,67.08715,32.96783333,146,46,0.760416667,5,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,1.098884359,Kand,Кандалакша,67.137283,32.407995,24.84457573,0.731409009
Kolv3,67.085468,32.934362,10,6,0.625,2,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,2.469431112,Kand,Кандалакша,67.137283,32.407995,23.48217799,0.678729685
Kolv3_2017,67.08603333,32.94013333,77,41,0.652542373,4,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,2.228992631,Kand,Кандалакша,67.137283,32.407995,23.70877635,1.132805232
Kolv4_2017,67.081409,32.910779,99,30,0.76744186,16,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,3.483572424,Kand,Кандалакша,67.137283,32.407995,22.61639378,1.157268558
Kolv5_2017,67.076056,32.86494,148,41,0.783068783,14,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,5.520767708,Kand,Кандалакша,67.137283,32.407995,20.90550339,1.904203396
Kolv6_2017,67.06421667,32.81351667,102,85,0.545454545,17,Kand,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,6.582951812,Kand,Кандалакша,67.137283,32.407995,19.33553723,3.30685201
Kovd,66.72556667,32.86436667,216,206,0.511848341,27,Karel,Karel,Ковда,276,26100,66.695493,32.871028,279.5858803,3.356838708,Karel,Витино,67.07657,32.33363,45.38002222,3.362823391
KurtExp,67.10778333,32.6209,233,47,0.832142857,16,Kand,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,3.231706591,Kand,Кандалакша,67.137283,32.407995,9.770597407,6.471953264
Kuzok1,66.47748333,33.53796667,39,117,0.25,27,Karel,Karel,Нильма,NA,167,66.505766,33.135072,1.78892115,18.14448901,Karel,Средний,66.294178,33.640656,20.88952737,14.36219532
Kuzok2,66.4729,33.53228333,30,97,0.236220472,26,Karel,Karel,Нильма,NA,167,66.505766,33.135072,1.78892115,17.99442159,Karel,Средний,66.294178,33.640656,20.45092854,9.839095683
LomExp,66.969,32.5975,392,392,0.5,16,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,15.18580389,Karel,Витино,67.07657,32.33363,16.56072603,6.535397835
LomShel,66.971801,32.610641,809,450,0.642573471,14,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,14.73766347,Karel,Витино,67.07657,32.33363,16.74153453,2.289895619
Lubch,67.14683333,32.3568,87,7,0.925531915,6,Kand,Karel,Лупче-Савино ,NA,146,67.162912,32.342593,1.563966993,1.890140728,Kand,Кандалакша,67.137283,32.407995,2.453063711,8.008676584
Lud,67.033929,32.477844,565,497,0.532015066,19,Karel,Kand,Нива,164,12800,67.130271,32.418253,137.1149145,11.01911474,Karel,Витино,67.07657,32.33363,7.846168405,5.404788009
Mal,67.11708333,32.40661667,940,106,0.898661568,8,Kand,Kand,Нива,164,12800,67.130271,32.418253,137.1149145,1.550270619,Kand,Кандалакша,67.137283,32.407995,2.246890666,6.619551665
MOS,66.5615,34.9765,4,118,0.032786885,20,Kand,Kand,Кузрека,NA,255,66.599994,34.813032,2.731586187,8.397288266,Kand,Умба,66.67797,34.357655,30.22225053,19.88268703
Nilmexp,66.50665,33.13013333,71,51,0.581967213,23,Karel,Karel,Нильма,NA,167,66.505766,33.135072,1.78892115,0.23997574,Karel,Чупа,66.269964,33.069534,26.45630608,1.604495672
Nilmshel,66.50565,33.1309,5,33,0.131578947,23,Karel,Karel,Нильма,NA,167,66.505766,33.135072,1.78892115,0.185388681,Karel,Чупа,66.269964,33.069534,26.3492192,1.644018423
OL,66.45335,35.31901667,17,156,0.098265896,17,Kand,Kand,Оленица,NA,403,66.452763,35.300598,4.316977385,0.820801001,Kand,Умба,66.67797,34.357655,49.30657506,17.78708205
OldUmb,66.67493333,34.32611667,47,125,0.273255814,21,Kand,Kand,Умба,78.2,6250,66.664609,34.297657,66.95064183,1.699590344,Kand,Умба,66.67797,34.357655,1.428931604,1.584048781
Olen,67.094163,32.334947,309,49,0.863128492,21,Karel,Kand,Нива,164,12800,67.130271,32.418253,137.1149145,5.394440111,Karel,Витино,67.07657,32.33363,1.957083142,3.604697954
Ovech,67.0947,32.45255,844,93,0.900747065,11,Kand,Kand,Нива,164,12800,67.130271,32.418253,137.1149145,4.224269013,Kand,Кандалакша,67.137283,32.407995,5.111944824,6.833402949
POJ,66.58650278,32.84033611,22,89,0.198198198,21,Karel,Karel,Ковда,276,26100,66.695493,32.871028,279.5858803,12.19446596,Karel,Чупа,66.269964,33.069534,36.64327362,1.212676818
Pul1,66.30228333,33.27666667,9,44,0.169811321,14,Karel,Karel,Пулонга,NA,630,66.302514,33.277289,6.748624696,0.03783395,Karel,Чупа,66.269964,33.069534,9.935518729,0.479405839
Pul2,66.28273333,33.23641667,4,27,0.129032258,25,Karel,Karel,Пулонга,NA,630,66.302514,33.277289,6.748624696,2.85952662,Karel,Чупа,66.269964,33.069534,7.599579251,1.163871278
Pul3,66.2917,33.28331667,17,48,0.261538462,24,Karel,Karel,Пулонга,NA,630,66.302514,33.277289,6.748624696,1.232278348,Karel,Чупа,66.269964,33.069534,9.862919059,1.398920553
PYR,66.65495,34.3414,84,132,0.388888889,27,Kand,Kand,Умба,78.2,6250,66.664609,34.297657,66.95064183,2.206159051,Kand,Умба,66.67797,34.357655,2.657936711,11.15509797
Rog,66.8725,32.7365,115,25,0.821428571,15,Karel,Karel,Ковда,276,26100,66.695493,32.871028,279.5858803,20.54661375,Karel,Витино,67.07657,32.33363,28.66911615,14.05360695
Ryazh1,67.00815,32.57235,264,362,0.42172524,21,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,11.51411868,Karel,Витино,67.07657,32.33363,12.84831762,2.490648818
Ryazh2,67.0068333,32.5800666,110,209,0.344827586,19,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,11.49822698,Karel,Витино,67.07657,32.33363,13.20518907,3.498509932
Ryazh3,67.02508333,32.54033333,395,206,0.657237937,21,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,10.67394502,Karel,Витино,67.07657,32.33363,10.63448899,0.950436311
Ryazh4,67.02585,32.5385,170,367,0.316573557,22,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,10.65692315,Karel,Витино,67.07657,32.33363,10.5215315,1.184635601
Ryazh5,67.00683333,32.58006667,189,523,0.265449438,21,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,11.49822698,Karel,Витино,67.07657,32.33363,13.20518907,3.498509932
Ryazh6,67.0094,32.55001667,206,330,0.384328358,20,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,11.86665027,Karel,Витино,67.07657,32.33363,11.99415055,1.097484253
Ryazh7,67.028334,32.531011,185,632,0.226438188,21,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,10.65449522,Karel,Витино,67.07657,32.33363,10.09917436,3.885533599
Ryazh8,67.01993333,32.57121667,190,377,0.335097002,20,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,10.38857967,Karel,Витино,67.07657,32.33363,12.07445656,1.412926998
Sedl2,66.9396,32.65831667,235,203,0.53652968,16,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,17.94091991,Karel,Витино,67.07657,32.33363,20.75645821,12.29722731
Son1,66.17808333,34.20433333,13,49,0.209677419,28,Karel,Karel,Сонрека,NA,167,66.156553,34.224147,1.78892115,2.554222683,Karel,Средний,66.294178,33.640656,28.36489921,8.710974889
Son2,66.18196667,34.21001667,47,94,0.333333333,30,Karel,Karel,Сонрека,NA,167,66.156553,34.224147,1.78892115,2.896300565,Karel,Средний,66.294178,33.640656,28.3977831,18.65899953
Son3,66.15833333,34.2344,7,50,0.122807018,8,Karel,Karel,Сонрека,NA,167,66.156553,34.224147,1.78892115,0.501569154,Karel,Средний,66.294178,33.640656,30.60246465,6.285677986
Son4,66.1588,34.23586667,11,64,0.146666667,14,Karel,Karel,Сонрека,NA,167,66.156553,34.224147,1.78892115,0.583019655,Karel,Средний,66.294178,33.640656,30.63391175,5.031727374
SOSN,66.632689,34.497628,22,110,0.166666667,14,Kand,Kand,Выпча,NA,161,66.633041,34.492023,1.724648533,0.25027289,Kand,Умба,66.67797,34.357655,7.96176747,1.804031318
Tel,67.106144,32.322582,353,89,0.798642534,12,Karel,Kand,Нива,164,12800,67.130271,32.418253,137.1149145,4.93026539,Karel,Витино,67.07657,32.33363,3.323066342,1.705869033
Tel2,67.10595,32.32296667,508,181,0.737300435,6,Karel,Kand,Нива,164,12800,67.130271,32.418253,137.1149145,4.928138538,Karel,Витино,67.07657,32.33363,3.2993504,1.700931135
Ter,66.9647,32.854848,202,415,0.3273906,23,Kand,Kand,Колвица,14.7,1260,67.0832,32.991099,13.49724939,14.4428827,Karel,Витино,67.07657,32.33363,25.8201879,9.724348943
Tur,66.54905,34.56741667,7,123,0.053846154,25,Kand,Kand,Выпча,NA,161,66.633041,34.492023,1.724648533,9.915496987,Kand,Умба,66.67797,34.357655,17.06496399,16.93539039
Val,66.92775,32.53526667,372,93,0.8,17,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,20.38208672,Karel,Витино,67.07657,32.33363,18.72352631,8.630529917
Vel1,66.55473333,33.24068333,39,431,0.082978723,24,Karel,Karel,Нильма,NA,167,66.505766,33.135072,1.78892115,7.177844345,Karel,Чупа,66.269964,33.069534,32.56771901,1.163252955
Vel2,66.60665,33.28335,142,633,0.183225806,23,Karel,Karel,Нильма,NA,167,66.505766,33.135072,1.78892115,12.9949028,Karel,Средний,66.294178,33.640656,38.19961966,6.578361114
Vel3,66.6101,33.28406667,18,366,0.046875,23,Karel,Karel,Нильма,NA,167,66.505766,33.135072,1.78892115,13.34287663,Karel,Средний,66.294178,33.640656,38.53532894,6.580401256
Vlas,67.08981667,32.6809,223,299,0.427203065,21,Kand,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,1.287675402,Kand,Кандалакша,67.137283,32.407995,12.92807192,3.698852039
VorShel,66.93415,32.52638333,437,120,0.784560144,17,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,19.850424,Karel,Витино,67.07657,32.33363,17.91350209,0.877882005
Zhemexp,66.89616667,32.5019,242,112,0.683615819,21,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,24.17923179,Karel,Витино,67.07657,32.33363,21.35202764,7.758519972
Zhemshel,66.889994,32.469834,132,65,0.670050761,18,Karel,Kand,Лувеньга,NA,175,67.100373,32.693133,1.874617971,25.32578145,Karel,Витино,67.07657,32.33363,21.57489076,5.100980738
ВРК,66.67518333,34.36533333,106,51,0.675159236,30,Kand,Kand,Умба,78.2,6250,66.664609,34.297657,66.95064183,3.203781654,Kand,Умба,66.67797,34.357655,0.458565517,0.474952313
